datetime,active_power_kw,wind_speed_ms,theoretical_power_kwh,wind_direction_deg,power_deficit,anomaly,month,month_name,efficiency,hour,season
2018-01-01 00:00:00,380.047790527343,5.31133604049682,416.328907824861,259.994903564453,36.281117297517994,0,1,January,0.9128546766375865,0,0
2018-01-01 00:10:00,453.76919555664,5.67216682434082,519.917511061494,268.64111328125,66.148315504854,0,1,January,0.8727715183706705,0,0
2018-01-01 00:20:00,306.376586914062,5.21603679656982,390.900015810951,272.564788818359,84.52342889688902,0,1,January,0.7837722551084095,0,0
2018-01-01 00:30:00,419.645904541015,5.65967416763305,516.127568975674,271.258087158203,96.48166443465897,0,1,January,0.8130662451801595,0,0
2018-01-01 00:40:00,380.650695800781,5.57794094085693,491.702971953588,265.674285888671,111.052276152807,0,1,January,0.7741476409801133,0,0
2018-01-01 00:50:00,402.391998291015,5.60405206680297,499.436385024805,264.57861328125,97.04438673379002,0,1,January,0.8056921969572357,0,0
2018-01-01 01:00:00,447.605712890625,5.79300785064697,557.372363290225,266.163604736328,109.76665039960004,0,1,January,0.8030640598115836,1,0
2018-01-01 01:10:00,387.2421875,5.30604982376098,414.898178826186,257.949493408203,27.655991326185983,0,1,January,0.9333427025290175,1,0
2018-01-01 01:20:00,463.651214599609,5.58462905883789,493.677652137077,253.480697631835,30.02643753746804,0,1,January,0.9391780498722458,1,0
2018-01-01 01:30:00,439.725708007812,5.52322816848754,475.706782818068,258.72378540039,35.98107481025602,0,1,January,0.9243629140683982,1,0
2018-01-01 01:40:00,498.181701660156,5.72411584854125,535.841397042263,251.850997924804,37.659695382106975,0,1,January,0.9297185779411951,1,0
2018-01-01 01:50:00,526.816223144531,5.93419885635375,603.014076510633,265.504699707031,76.19785336610198,0,1,January,0.8736383505223889,1,0
2018-01-01 02:00:00,710.587280273437,6.54741382598876,824.662513585882,274.23291015625,114.075233312445,0,1,January,0.8616704028216204,2,0
2018-01-01 02:10:00,655.194274902343,6.19974613189697,693.472641075637,266.733184814453,38.27836617329399,0,1,January,0.944801908675271,2,0
2018-01-01 02:20:00,754.762512207031,6.50538301467895,808.098138482693,266.76040649414,53.33562627566198,0,1,January,0.9339985779749396,2,0
2018-01-01 02:30:00,790.173278808593,6.63411617279052,859.459020788565,270.493194580078,69.28574197997204,0,1,January,0.9193844729020338,2,0
2018-01-01 02:40:00,742.985290527343,6.37891292572021,759.434536596592,266.593292236328,16.449246069249057,0,1,January,0.9783401395688871,2,0
2018-01-01 02:50:00,748.229614257812,6.4466528892517,785.28100987646,265.571807861328,37.05139561864792,0,1,January,0.9528176599807541,2,0
2018-01-01 03:00:00,736.647827148437,6.41508293151855,773.172863451736,261.15869140625,36.525036303298975,0,1,January,0.9527595470174194,3,0
2018-01-01 03:10:00,787.246215820312,6.43753099441528,781.7712157188,257.56021118164,-5.475000101512023,0,1,January,1.0,3,0
2018-01-01 03:20:00,722.864074707031,6.22002410888671,700.764699868076,255.926498413085,-22.099374838954983,0,1,January,1.0,3,0
2018-01-01 03:30:00,935.033386230468,6.89802598953247,970.736626881787,250.012893676757,35.70324065131899,0,1,January,0.9632204661258065,3,0
2018-01-01 03:40:00,1220.60900878906,7.60971117019653,1315.04892785216,255.985702514648,94.43991906309998,0,1,January,0.9281852431016794,3,0
2018-01-01 03:50:00,1053.77197265625,7.28835582733154,1151.26574355584,255.444595336914,97.49377089958988,0,1,January,0.9153160150509931,3,0
2018-01-01 04:00:00,1493.80798339843,7.94310188293457,1497.58372354361,256.407409667968,3.775740145179952,0,1,January,0.9974787785912592,4,0
2018-01-01 04:10:00,1724.48803710937,8.37616157531738,1752.19966204818,252.41259765625,27.71162493881002,0,1,January,0.9841846648307092,4,0
2018-01-01 04:20:00,1636.93505859375,8.23695755004882,1668.47070685152,247.979400634765,31.535648257769935,0,1,January,0.9810990698678318,4,0
2018-01-01 04:30:00,1385.48803710937,7.87959098815917,1461.81579081391,238.609603881835,76.3277537045401,0,1,January,0.9477856552212763,4,0
2018-01-01 04:40:00,1098.93200683593,7.10137605667114,1062.28503444311,245.095596313476,-36.64697239282009,0,1,January,1.0,4,0
2018-01-01 04:50:00,1021.4580078125,6.95530700683593,995.995854606612,245.410202026367,-25.462153205887944,0,1,January,1.0,4,0
2018-01-01 05:00:00,1164.89294433593,7.09829807281494,1060.85971215544,235.227905273437,-104.0332321804899,0,1,January,1.0,5,0
2018-01-01 05:10:00,1073.33203125,6.95363092422485,995.250960801046,242.872695922851,-78.08107044895405,0,1,January,1.0,5,0
2018-01-01 05:20:00,1165.30798339843,7.24957799911499,1132.4168612641,244.835693359375,-32.89112213433009,0,1,January,1.0,5,0
2018-01-01 05:30:00,1177.98999023437,7.29469108581542,1154.36530469206,242.48159790039,-23.62468554231009,0,1,January,1.0,5,0
2018-01-01 05:40:00,1170.53601074218,7.37636995315551,1194.8430985043,247.97720336914,24.30708776212009,0,1,January,0.9796566697396942,5,0
2018-01-01 05:50:00,1145.53601074218,7.44855403900146,1231.43070603717,249.682998657226,85.89469529499002,0,1,January,0.9302480481655316,5,0
2018-01-01 06:00:00,1114.02697753906,7.2392520904541,1127.43320551345,248.401000976562,13.406227974390047,0,1,January,0.988109071199225,6,0
2018-01-01 06:10:00,1153.18505859375,7.32921123504638,1171.35504358957,244.621704101562,18.16998499581996,0,1,January,0.9844880635506219,6,0
2018-01-01 06:20:00,1125.3310546875,7.13970518112182,1080.13908466205,244.631805419921,-45.19197002545002,0,1,January,1.0,6,0
2018-01-01 06:30:00,1228.73205566406,7.47422885894775,1244.63353439737,245.785995483398,15.901478733310114,0,1,January,0.9872239673013395,6,0
2018-01-01 06:40:00,1021.79302978515,7.03317403793334,1030.99268581181,248.652206420898,9.199656026659907,0,1,January,0.991076894964181,6,0
2018-01-01 06:50:00,957.378173828125,6.88645505905151,965.683334443832,244.611694335937,8.305160615706995,0,1,January,0.9913997059703943,6,0
2018-01-01 07:00:00,909.887817382812,6.88782119750976,966.279104864065,235.84829711914,56.3912874812529,0,1,January,0.9416407876384888,7,0
2018-01-01 07:10:00,1000.95397949218,7.21643209457397,1116.4718990154,232.842697143554,115.51791952321992,0,1,January,0.8965330702679634,7,0
2018-01-01 07:20:00,1024.47802734375,7.0685977935791,1047.17023059277,229.933197021484,22.69220324901994,0,1,January,0.978329976744875,7,0
2018-01-01 07:30:00,1009.53399658203,6.93829584121704,988.451940715539,230.13670349121,-21.082055866491032,0,1,January,1.0,7,0
2018-01-01 07:40:00,899.492980957031,6.53668785095214,820.416658585943,234.933807373046,-79.07632237108805,0,1,January,1.0,7,0
2018-01-01 07:50:00,725.110107421875,6.18062496185302,686.636942163399,232.837905883789,-38.473165258476,0,1,January,1.0,7,0
2018-01-01 08:00:00,585.259399414062,5.81682586669921,564.927659543473,240.328796386718,-20.33173987058899,0,1,January,1.0,8,0
2018-01-01 08:10:00,443.913909912109,5.45015096664428,454.773587146918,238.12629699707,10.859677234808998,0,1,January,0.9761206949090017,8,0
2018-01-01 08:20:00,565.253784179687,5.81814908981323,565.349093224668,235.80029296875,0.0953090449809224,0,1,January,0.9998314155870716,8,0
2018-01-01 08:30:00,644.037780761718,6.13027286529541,668.823569309414,224.958694458007,24.78578854769603,0,1,January,0.9629412154639103,8,0
2018-01-01 08:40:00,712.058898925781,6.34707784652709,747.460673422601,216.803894042968,35.40177449681994,0,1,January,0.9526372747682949,8,0
2018-01-01 08:50:00,737.394775390625,6.34743690490722,747.595109122642,205.785293579101,10.200333732017045,0,1,January,0.9863558046226548,8,0
